Category,Quantity,Share,Description
Azure Digital & App Innovation,3,4.17,Cursos de desarrolo digital en la nube de Microsoft
Azure Infrastructure,18,25,Cursos de plataforma, maquinas virtuales y servicios en la nube de Microsoft
Business Applications,23,31.94,Cursos de ERP Dynamics y gestion del negocio
Data & AI,17,23.61,Cursos de bases de datos SQL Server, Data Science e Inteligencia Artificial
Modern Work,10,13.89,Cursos de plataforma Windows para escritorio
Security,7,9.72,Cursos de seguridad informática
Others,1,1.39,Cursos especificos no categorizados
